timestamp,open,high,low,close,volume
2009-03-12,0.2900,0.2900,0.2301,0.2700,602645
2009-03-11,0.2200,0.2400,0.2100,0.2100,310126
2009-03-10,0.2000,0.2500,0.2000,0.2099,527595
2009-03-09,0.2000,0.2600,0.2000,0.2000,265930
2009-03-06,0.2138,0.2138,0.1900,0.2098,90314
2009-03-05,0.2000,0.2000,0.1900,0.1900,104550
2009-03-04,0.1800,0.2100,0.1800,0.1900,91567
2009-03-03,0.1900,0.2100,0.1600,0.1700,327334
2009-03-02,0.2100,0.2100,0.1900,0.1950,82930
2009-02-27,0.2000,0.2100,0.1900,0.1915,81035
2009-02-26,0.2240,0.2240,0.2000,0.2000,180356
2009-02-25,0.2138,0.2138,0.1950,0.2000,183130
2009-02-24,0.2000,0.2100,0.1800,0.1900,279280
2009-02-23,0.2800,0.2800,0.1801,0.1820,283975
2009-02-20,0.1700,0.2100,0.1500,0.2095,661145
2009-02-19,0.2300,0.2300,0.1402,0.1500,623712
2009-02-18,0.1900,0.1900,0.1700,0.1786,590084
2009-02-17,0.2200,0.2200,0.1800,0.1990,236098
2009-02-13,0.2000,0.2100,0.1903,0.2094,146796
2009-02-12,0.2000,0.2000,0.1901,0.1904,144429
2009-02-11,0.1900,0.2000,0.1900,0.1989,112900
2009-02-10,0.2000,0.2200,0.1895,0.1998,336088
2009-02-09,0.2194,0.2200,0.2000,0.2082,222975
2009-02-06,0.2200,0.2200,0.2050,0.2100,216875
2009-02-05,0.2200,0.2200,0.2100,0.2100,151600
2009-02-04,0.2200,0.2200,0.2100,0.2170,107810
2009-02-03,0.2400,0.2400,0.2100,0.2100,383502
2009-02-02,0.2300,0.2300,0.2200,0.2200,34700
2009-01-30,0.2300,0.2350,0.2143,0.2345,70503
2009-01-29,0.2400,0.2400,0.2200,0.2200,54167
2009-01-28,0.2301,0.2400,0.2100,0.2300,58950
2009-01-27,0.2400,0.2400,0.2300,0.2400,104995
2009-01-26,0.2100,0.2400,0.2100,0.2300,89933
2009-01-23,0.2100,0.2340,0.2100,0.2300,142767
2009-01-22,0.2200,0.2400,0.2100,0.2100,115440
2009-01-21,0.2300,0.2300,0.2100,0.2100,91710
2009-01-20,0.2500,0.2500,0.2000,0.2200,289959
2009-01-16,0.3200,0.3200,0.2400,0.2400,391537
2009-01-15,0.2500,0.2500,0.2200,0.2400,233188
2009-01-14,0.2900,0.2900,0.2005,0.2300,1182953
2009-01-13,0.3000,0.3000,0.2900,0.2900,75624
2009-01-12,0.3000,0.3100,0.3000,0.3000,127739
2009-01-09,0.3300,0.3300,0.2906,0.3000,144716
2009-01-08,0.3100,0.4000,0.2900,0.3000,229127
2009-01-07,0.2800,0.3000,0.2700,0.2800,652617
2009-01-06,0.2900,0.3000,0.2700,0.2750,418897
2009-01-05,0.3101,0.3101,0.2900,0.2900,99741
2009-01-02,0.3100,0.3200,0.2900,0.3100,124903
2008-12-31,0.2600,0.2900,0.2600,0.2850,178093
2008-12-30,0.3100,0.3100,0.2800,0.2801,323688
2008-12-29,0.3200,0.3200,0.2800,0.2800,121784
2008-12-26,0.3200,0.3200,0.2900,0.2900,329775
2008-12-24,0.3000,0.3200,0.2900,0.3000,123288
2008-12-23,0.3300,0.3400,0.2900,0.3000,188158
2008-12-22,0.3200,0.3360,0.2800,0.3360,232563
2008-12-19,0.2905,0.3300,0.2700,0.2900,93641
2008-12-18,0.3200,0.3392,0.3000,0.3000,94751
2008-12-17,0.3200,0.3200,0.3000,0.3200,180312
2008-12-16,0.3800,0.3800,0.3000,0.3300,108141
2008-12-15,0.3500,0.3500,0.3300,0.3492,110370
2008-12-12,0.3000,0.3500,0.3000,0.3400,145647
2008-12-11,0.3200,0.3500,0.3200,0.3200,114920
2008-12-10,0.4000,0.4000,0.3000,0.3200,368485
2008-12-09,0.3700,0.4100,0.3400,0.3800,345341
2008-12-08,0.3600,0.3600,0.3300,0.3400,195402
2008-12-05,0.3400,0.3600,0.3200,0.3300,217195
2008-12-04,0.3000,0.3500,0.3000,0.3500,298250
2008-12-03,0.2600,0.3000,0.2600,0.3000,143679
2008-12-02,0.2900,0.3000,0.2790,0.2900,77100
2008-12-01,0.3200,0.3500,0.2800,0.2800,227514
2008-11-28,0.3000,0.3000,0.2500,0.3000,254000
2008-11-26,0.2100,0.2999,0.2100,0.2900,130209
2008-11-25,0.2000,0.2399,0.1900,0.2299,122779
2008-11-24,0.2000,0.2000,0.1800,0.1849,355130
2008-11-21,0.2000,0.2200,0.1700,0.1800,528426
2008-11-20,0.2200,0.2490,0.2000,0.2000,537877
2008-11-19,0.2500,0.2751,0.2306,0.2399,372723
2008-11-18,0.2600,0.2900,0.2600,0.2800,137461
2008-11-17,0.2800,0.2855,0.2600,0.2750,306379
2008-11-14,0.2675,0.2999,0.2600,0.2650,229489
2008-11-13,0.2800,0.2800,0.2501,0.2501,70330
2008-11-12,0.2500,0.2698,0.2500,0.2501,180650
2008-11-11,0.2799,0.2870,0.2600,0.2650,49507
2008-11-10,0.2800,0.2800,0.2700,0.2700,59708
2008-11-07,0.3000,0.3000,0.2500,0.2700,627956
2008-11-06,0.3000,0.3000,0.2700,0.2700,98900
2008-11-05,0.3290,0.3290,0.2701,0.2800,222456
2008-11-04,0.3508,0.3600,0.2900,0.3000,653203
2008-11-03,0.3000,0.3900,0.2800,0.3210,724780
2008-10-31,0.2530,0.3000,0.2521,0.2900,428961
2008-10-30,0.2710,0.2900,0.2520,0.2749,438949
2008-10-29,0.3300,0.3300,0.2700,0.2949,339024
2008-10-28,0.2850,0.3199,0.2800,0.3000,306950
2008-10-27,0.3499,0.3499,0.2700,0.3092,343117
2008-10-24,0.3200,0.3202,0.3000,0.3199,119006
2008-10-23,0.3695,0.3700,0.3200,0.3399,97390
2008-10-22,0.3700,0.3700,0.3500,0.3570,268096
2008-10-21,0.3789,0.3800,0.3501,0.3508,185441
2008-10-20,0.3800,0.3800,0.3600,0.3600,157039
2008-10-17,0.3800,0.3801,0.3500,0.3500,228097
2008-10-16,0.3699,0.4000,0.3699,0.3702,547744
2008-10-15,0.3800,0.3800,0.3500,0.3510,113857
2008-10-14,0.3899,0.3900,0.3300,0.3500,192696
2008-10-13,0.3800,0.3999,0.3500,0.3600,290008
2008-10-10,0.3600,0.4100,0.2800,0.3500,498163
2008-10-09,0.4099,0.4099,0.3600,0.3600,179416
2008-10-08,0.4000,0.4100,0.3501,0.3805,238938
2008-10-07,0.4000,0.4250,0.3500,0.3900,514860
2008-10-06,0.4300,0.4300,0.4000,0.4300,266398
2008-10-03,0.4999,0.4999,0.4008,0.4300,330724
2008-10-02,0.4400,0.4400,0.4100,0.4299,317450
2008-10-01,0.4000,0.4300,0.4000,0.4100,362180
2008-09-30,0.4400,0.4400,0.4000,0.4000,500875
2008-09-29,0.5300,0.5300,0.4010,0.4199,798501
2008-09-26,0.5000,0.5100,0.4800,0.5000,117250
2008-09-25,0.5200,0.5200,0.4900,0.5000,148083
2008-09-24,0.5300,0.5300,0.5000,0.5000,150526
2008-09-23,0.5500,0.5500,0.5000,0.5000,648662
2008-09-22,0.5200,0.5960,0.5200,0.5500,63345
2008-09-19,0.5700,0.5800,0.5300,0.5500,97623
2008-09-18,0.5900,0.5900,0.5200,0.5600,381155
2008-09-17,0.5699,0.5900,0.5000,0.5900,403109
2008-09-16,0.5800,0.6000,0.5530,0.5800,138824
2008-09-15,0.5600,0.6000,0.4600,0.5501,203255
2008-09-12,0.5700,0.5990,0.5700,0.5720,52100
2008-09-11,0.6000,0.6000,0.5700,0.5800,85425
2008-09-10,0.6000,0.6000,0.5700,0.5700,142450
2008-09-09,0.5900,0.6000,0.5700,0.5950,163145
2008-09-08,0.6000,0.6000,0.5700,0.5800,127714
2008-09-05,0.5800,0.6000,0.5650,0.5775,319275
